0, 753
1, 3361
2, 2325
3, 2947
4, 2757
5, 2692
6, 2203
7, 1919
8, 1879
9, 2160
10, 1861
11, 1412
12, 814
13, 583
14, 491
15, 447
16, 417
17, 316
18, 288
19, 304
20, 481
21, 815
22, 1091
23, 1272
24, 1825
25, 1721
26, 1378
27, 1218
28, 1544
29, 1919
30, 1740
31, 1867
32, 1756
33, 1876
34, 1412
35, 1205
36, 1568
37, 1878
38, 1952
39, 2310
40, 3249
41, 3714
42, 3589
43, 3148
44, 2522
45, 2330
46, 2439
47, 2267
48, 1949
49, 1918
50, 1770
51, 1734
52, 1420
53, 1354
54, 1342
55, 1387
56, 1368
57, 1284
58, 1277
59, 1229
60, 1184
61, 1121
62, 1060
63, 1074
64, 946
65, 964
66, 877
67, 861
68, 912
69, 912
70, 810
71, 844
72, 717
73, 662
74, 652
75, 662
76, 722
77, 688
78, 611
79, 560
80, 548
81, 457
82, 505
83, 479
84, 497
85, 486
86, 513
87, 524
88, 544
89, 555
90, 527
91, 515
92, 525
93, 457
94, 455
95, 543
96, 521
97, 522
98, 497
99, 442
100, 462
101, 443
102, 481
103, 502
104, 539
105, 490
106, 560
107, 543
108, 556
109, 609
110, 590
111, 644
112, 635
113, 652
114, 730
115, 804
116, 745
117, 750
118, 663
119, 629
120, 595
121, 614
122, 565
123, 594
124, 542
125, 580
126, 490
127, 474
128, 444
129, 455
130, 492
131, 516
132, 533
133, 497
134, 471
135, 498
136, 459
137, 430
138, 347
139, 349
140, 382
141, 400
142, 344
143, 364
144, 364
145, 296
146, 299
147, 284
148, 275
149, 276
150, 288
151, 304
152, 315
153, 275
154, 269
155, 270
156, 218
157, 221
158, 233
159, 179
160, 270
161, 250
162, 263
163, 305
164, 259
165, 279
166, 302
167, 287
168, 248
169, 226
170, 245
171, 228
172, 201
173, 224
174, 234
175, 207
176, 204
177, 178
178, 171
179, 196
180, 189
181, 144
182, 169
183, 180
184, 209
185, 242
186, 235
187, 206
188, 184
189, 191
190, 167
191, 168
192, 185
193, 146
194, 178
195, 177
196, 178
197, 186
198, 171
199, 158
200, 168
201, 165
202, 145
203, 150
204, 117
205, 110
206, 119
207, 108
208, 94
209, 87
210, 94
211, 103
212, 107
213, 100
214, 85
215, 88
216, 101
217, 96
218, 85
219, 77
220, 94
221, 98
222, 91
223, 59
224, 73
225, 99
226, 90
227, 112
228, 106
229, 121
230, 114
231, 149
232, 143
233, 141
234, 137
235, 163
236, 147
237, 134
238, 160
239, 178
240, 297
241, 332
242, 125
243, 150
244, 208
245, 154
246, 147
247, 192
248, 178
249, 169
250, 164
251, 179
252, 202
253, 256
254, 167
255, 6
